,,,,,
% cln1x,Qin (m^3/s),Ta0 (K),z (m),cpoxide (mol/m^3),cpglycol (mol/m^3)
0.0075,0.005,277,0.0075,1599.6769862605045,0.32301373949596857
0.0075,0.003,277,0.0075,1599.4718365733686,0.528163427
0.0075,0.007,277,0.0075,1599.766935024726,0.2330649752738903
0.0075,0.005,288,0.0075,1599.676782139631,0.32321786036919903
0.0075,0.005,267,0.0075,1599.6769621026904,0.32303789730952676
0.0225,0.005,277,0.0225,1599.0795154322277,0.920484568
0.0225,0.003,277,0.0225,1598.4974164711168,1.502583528883638
0.0225,0.007,277,0.0225,1599.3350747437112,0.6649252562888327
0.0225,0.005,288,0.0225,1599.0790321386148,0.920967861
0.0225,0.005,267,0.0225,1599.0795107180875,0.9204892819127356
0.037500000000000006,0.005,277,0.037500000000000006,1598.481375845176,1.5186241548244817
0.037500000000000006,0.003,277,0.037500000000000006,1597.521379914047,2.4786200859529335
0.037500000000000006,0.007,277,0.037500000000000006,1598.9028340310724,1.0971659689276727
0.037500000000000006,0.005,288,0.037500000000000006,1598.4806056925916,1.5193943074089635
0.037500000000000006,0.005,267,0.037500000000000006,1598.4813971286296,1.5186028713706263
0.052500000000000005,0.005,277,0.052500000000000005,1597.8825997621318,2.1174002378687113
0.052500000000000005,0.003,277,0.052500000000000005,1596.5437896307753,3.4562103692251114
0.052500000000000005,0.007,277,0.052500000000000005,1598.470233501953,1.5297664980470806
0.052500000000000005,0.005,288,0.052500000000000005,1597.881531023023,2.1184689769777414
0.052500000000000005,0.005,267,0.052500000000000005,1597.8826575475127,2.117342452487505
0.0675,0.005,277,0.0675,1597.2832059925747,2.716794007425512
0.0675,0.003,277,0.0675,1595.564682707557,4.435317292442944
0.0675,0.007,277,0.0675,1598.037284895467,1.9627151045332956
0.0675,0.005,288,0.0675,1597.2818234173933,2.7181765826070463
0.0675,0.005,267,0.0675,1597.2833141515525,2.716685848447503
0.0825,0.005,277,0.0825,1596.6832000371815,3.3167999628188003
0.0825,0.003,277,0.0825,1594.5840712114139,5.415928788586541
0.0825,0.007,277,0.0825,1597.6039911377711,2.396008862229532
0.0825,0.005,288,0.0825,1596.6814854461304,3.3185145538695835
0.0825,0.005,267,0.0825,1596.6833751003196,3.316624899680712
0.0975,0.005,277,0.0975,1596.0825854229804,3.9174145770200663
0.0975,0.003,277,0.0975,1593.6019628778774,6.398037122122987
0.0975,0.007,277,0.0975,1597.1703540496521,2.8296459503479627
0.0975,0.005,288,0.0975,1596.0805184080982,3.9194815919021644
0.0975,0.005,267,0.0975,1596.0828460353832,3.917153964616875
0.11249999999999999,0.005,277,0.1125,1595.4813480179344,4.518651982066039
0.11249999999999999,0.003,277,0.1125,1592.6183220641074,7.381677935892756
0.11249999999999999,0.007,277,0.1125,1596.736365644093,3.263634355907169
0.11249999999999999,0.005,288,0.1125,1595.4789059789655,4.521094021
0.11249999999999999,0.005,267,0.1125,1595.4817150520953,4.518284947905217
0.1275,0.005,277,0.1275,1594.8795020606626,5.120497939337781
0.1275,0.003,277,0.1275,1591.6331828181142,8.366817181886237
0.1275,0.007,277,0.1275,1596.3020341182942,3.6979658817060583
0.1275,0.005,288,0.1275,1594.876661895176,5.123338104824808
0.1275,0.005,267,0.1275,1594.8799970748105,5.120002925189804
0.14250000000000002,0.005,277,0.14250000000000002,1594.2770505191634,5.722949481
0.14250000000000002,0.003,277,0.14250000000000002,1590.6465513461849,9.353448653815333
0.14250000000000002,0.007,277,0.14250000000000002,1595.8673614202207,4.132638579779364
0.14250000000000002,0.005,288,0.14250000000000002,1594.2737887817689,5.726211218231862
0.14250000000000002,0.005,267,0.14250000000000002,1594.2776955314707,5.722304468529267
0.1575,0.005,277,0.1575,1593.673991866162,6.326008133838567
0.1575,0.003,277,0.1575,1589.658422714043,10.341577285957168
0.1575,0.007,277,0.1575,1595.432347020199,4.567652979801399
0.1575,0.005,288,0.1575,1593.6702850050951,6.329714994904922
0.1575,0.005,267,0.1575,1593.674809046203,6.325190953797208
0.17250000000000001,0.005,277,0.1725,1593.0703235927224,6.929676407277951
0.17250000000000001,0.003,277,0.1725,1588.6687895704285,11.331210429571591
0.17250000000000001,0.007,277,0.1725,1594.9969898656227,5.003010134
0.17250000000000001,0.005,288,0.1725,1593.0661482289115,6.9338517710892695
0.17250000000000001,0.005,267,0.1725,1593.0713349576017,6.928665042398132
0.1875,0.005,277,0.1875,1592.4660425035945,7.533957496405685
0.1875,0.003,277,0.1875,1587.6776428646087,12.322357135391417
0.1875,0.007,277,0.1875,1594.5612885235048,5.438711476495304
0.1875,0.005,288,0.1875,1592.4613756254257,7.5386243745746055
0.1875,0.005,267,0.1875,1592.4672697064511,7.532730294
0.2025,0.005,277,0.2025,1591.8611416304157,8.138858369584614
0.2025,0.003,277,0.2025,1586.684964184473,13.315035815527303
0.2025,0.007,277,0.2025,1594.1252394400483,5.874760559952237
0.2025,0.005,288,0.2025,1591.8559606038018,8.144039396198053
0.2025,0.005,267,0.2025,1591.862605945829,8.137394054171487
0.21749999999999997,0.005,277,0.21749999999999997,1591.2556035999992,8.744396400001369
0.21749999999999997,0.003,277,0.21749999999999997,1585.6907091938667,14.309290806133413
0.21749999999999997,0.007,277,0.21749999999999997,1593.6888332273547,6.311166772645744
0.21749999999999997,0.005,288,0.21749999999999997,1591.2498859077775,8.750114092222594
0.21749999999999997,0.005,267,0.21749999999999997,1591.2573261738578,8.742673826
0.23249999999999998,0.005,277,0.23249999999999998,1590.649441458518,9.350558541482295
